1	14 
2	5 
3	9 
4	20 
5	5 
6	18 
7	17 
8	11 
9	17 
10	1 
11	18 
12	18 
13	5 
14	13 
15	4 6 14 
16	17 
17	16 
18	4 
19	18 
20	18 
21	5 
22	14 
23	20 
24	9 
25	8 
26	12 
27	17 
28	22 
29	5 
30	1 
31	18 
32	6 
33	17 
34	3 7 11 
35	8 
36	5 
37	13 
38	24 
39	8 
40	6 
41	18 
42	5 
43	11 
44	15 
45	16 
46	24 
47	1 
48	24 
49	13 
50	4 
51	9 
52	6 
53	3 8 12 
54	6 15 24 
55	8 
56	16 
57	22 
58	4 
59	12 
60	24 
61	3 
62	11 
63	6 
64	12 
65	1 5 8 
66	18 
67	24 
68	18 
69	11 
70	13 
71	24 
72	11 
73	13 
74	17 
75	5 
76	7 
77	11 
78	14 
79	14 
80	4 
81	8 
82	15 
83	6 7 17 
84	6 
85	8 
86	17 
87	8 13 20 
88	10 
89	3 
90	19 
91	12 
92	19 
93	5 
94	14 
95	13 
96	13 
97	20 
98	19 
99	1 
100	4 
101	14 
102	20 
103	13 
104	22 
105	5 13 15 
106	16 
107	14 18 23 
108	23 
109	2 
110	14 
111	18 
112	14 
113	18 
114	12 13 18 
115	17 
116	3 8 17 
117	17 
118	8 
119	9 12 16 
120	22 
121	7 
122	8 16 21 
123	3 
124	23 
125	14 
126	7 
127	18 
128	20 
129	16 
130	14 
131	23 
132	5 
133	8 
134	2 
135	7 
136	17 
137	13 
138	12 13 18 
139	19 
140	8 
141	20 
142	19 
143	2 
144	5 
145	2 
146	8 
147	24 
148	7 
149	14 
150	17 
151	4 13 15 
152	5 
153	20 
154	14 
155	14 
156	19 
157	23 
158	16 
159	12 
160	18 
161	20 
162	20 
163	5 
164	9 
165	13 
166	13 
167	1 8 21 
168	5 
169	16 21 24 
170	13 
171	4 11 13 
172	17 
173	14 
174	8 12 20 
175	9 
176	13 
177	20 
178	16 
179	4 
180	22 
181	10 
182	19 
183	20 
184	2 
185	8 
186	13 
187	20 
188	2 8 10 
189	9 
190	19 
191	18 
192	22 
193	9 
194	7 20 24 
195	20 
196	10 
197	8 
198	9 
199	22 
200	24 
201	9 
202	7 
203	11 
204	6 
205	4 
206	13 
207	7 
208	1 8 15 
209	8 17 20 
210	1 5 15 
211	14 
212	8 
213	6 
214	8 
215	21 
216	17 
217	13 
218	19 
219	13 
220	8 20 21 
221	2 
222	13 
223	19 
224	6 7 23 
225	9 
226	17 
227	7 
228	10 
229	7 
230	18 
231	16 
232	19 
233	15 
234	6 
235	10 
236	17 
237	23 
238	4 
239	7 
240	16 
241	9 
242	9 14 20 
243	6 14 20 
244	17 
245	20 
246	20 
247	1 
248	20 
249	5 
250	17 
251	16 
252	6 
253	6 14 20 
254	4 
255	1 
256	6 17 20 
257	14 
258	5 
259	7 
260	5 
261	6 
262	8 
263	12 
264	8 
265	23 
266	14 
267	5 
268	16 
269	8 
270	5 
271	14 
272	8 
273	5 
274	6 
275	17 
276	13 
277	20 
278	24 
279	17 
280	14 
281	1 
282	6 23 24 
283	20 
284	9 
285	14 
286	18 
287	17 
288	14 
289	22 
290	8 
291	20 
292	4 
293	4 
294	14 
295	4 
296	20 
297	14 
298	9 
299	5 
300	14 
301	10 
302	8 
303	18 
304	5 
305	15 17 24 
306	6 
307	14 
308	14 
309	20 
310	15 
311	10 
312	22 
313	15 
314	17 
315	1 
316	16 
317	19 
318	19 
319	5 12 17 
320	8 
321	1 
322	1 17 22 
323	2 9 22 
324	3 
325	20 
326	14 
327	6 
328	4 
329	21 
330	2 12 22 
331	13 
332	12 21 22 
333	5 13 16 
334	19 
335	6 19 20 
336	8 
337	1 
338	10 11 21 
339	21 
340	23 
341	20 
342	5 
343	15 
344	7 
345	6 
346	4 
347	17 
348	21 
349	18 
350	12 
351	9 
352	2 
353	20 
354	13 
355	13 
356	8 
357	5 8 21 
358	14 
359	5 
360	1 6 17 
361	1 
362	5 
363	3 5 14 
364	5 
365	16 
366	1 
367	18 
368	5 
369	24 
370	1 
371	13 
372	17 
373	5 
374	2 
375	6 
376	17 
377	8 
378	18 
379	8 
380	3 
381	5 
382	17 20 21 
383	18 
384	13 
385	12 
386	9 
387	23 
388	10 
389	7 
390	18 
391	3 
392	4 14 15 
393	8 
394	13 
395	1 
396	19 
397	20 
398	21 
399	17 
400	5 
401	8 
402	1 8 15 
403	19 
404	17 
405	2 5 22 
406	5 
407	14 19 24 
408	14 
409	10 
410	12 
411	18 
412	3 
413	4 
414	17 
