1	9 
2	53 
3	92 
4	73 
5	80 
6	10 
7	10 
8	63 
9	28 
10	69 
11	65 
12	60 
13	82 
14	54 
15	11 
16	15 
17	20 113 
18	66 
19	72 
20	45 
21	4 
22	37 
23	45 
24	20 
25	97 
26	48 
27	94 
28	85 
29	42 
30	45 
31	54 
32	23 
33	27 
34	38 
35	71 
36	34 
37	13 
38	59 
39	39 
40	110 
41	45 
42	77 91 
43	115 
44	22 
45	90 
46	5 
47	41 
48	27 
49	60 
50	17 
51	63 
52	32 
53	102 
54	67 113 
55	70 
56	31 
57	53 
58	22 
59	52 
60	4 
61	30 58 
62	18 
63	54 
64	14 77 
65	92 
66	72 
67	71 102 
68	86 102 
69	48 
70	85 
71	82 
72	16 
73	51 
74	76 
75	73 
76	85 
77	16 
78	3 
79	9 
80	60 116 
81	8 85 
82	23 
83	105 
84	50 
85	89 
86	100 
87	95 
88	52 
89	58 
90	44 
91	27 
92	7 
93	49 
94	54 
95	60 
96	34 
97	111 
98	92 
99	48 93 
100	111 
101	111 
102	32 
103	10 
104	8 
105	61 
106	15 
107	30 
108	55 
109	92 
110	75 100 
111	86 
112	100 
113	110 112 
114	91 
115	104 
116	39 
117	86 
118	4 
119	58 
120	25 
121	38 
122	45 
123	31 
124	40 
125	6 
126	98 
127	69 
128	100 
129	56 
130	39 
131	114 
132	50 
133	77 
134	116 
135	33 
136	47 
137	63 
138	7 91 
139	21 
140	53 
141	43 
142	33 
143	29 
144	114 
145	56 
146	53 
147	51 
148	88 
149	16 
150	114 
151	13 
152	21 
153	55 
154	67 
155	86 
156	72 
157	27 
158	15 
159	31 
160	75 
161	65 
162	17 
163	95 
164	31 
165	54 
166	16 114 
167	62 
168	99 
169	98 
170	32 
171	32 
172	33 
173	2 
174	90 
175	10 
176	25 
177	93 114 
178	54 
179	28 116 
180	99 
181	111 
182	59 
183	111 
184	54 66 
185	21 47 
186	58 
187	52 
188	21 
189	92 
190	64 
191	111 
192	34 
193	94 
194	92 
195	112 
196	83 
197	30 
198	23 
199	4 
200	50 
201	54 
202	42 95 
203	100 
204	72 
205	112 
206	34 
207	91 
208	9 
209	30 
210	86 
211	86 
212	15 
213	86 
214	10 
215	11 
216	32 
217	2 
218	67 
219	27 77 
220	76 
221	47 
222	57 
223	42 
224	4 
225	114 
226	29 
227	107 
228	112 
229	73 
230	84 
231	17 
232	70 
233	24 
234	80 
235	70 
236	43 
237	12 
238	97 
239	55 
240	77 
241	50 
242	85 
243	96 
244	19 
245	9 
246	113 
247	54 
248	73 116 
249	83 
250	95 
251	12 
252	30 
253	116 
254	56 
255	8 
256	74 
257	63 
258	13 
259	89 
260	45 
261	55 
262	59 
263	51 
264	93 
265	96 
266	8 
267	92 
268	102 
269	84 
270	25 
271	112 
272	23 73 
273	63 
274	76 
275	95 
276	73 
277	96 
278	19 
279	72 111 
280	86 
281	116 
282	83 
283	71 
284	71 
285	63 
286	97 
287	34 
288	85 
289	7 
290	85 115 
291	30 
292	70 
293	102 
294	15 
295	110 
296	54 
297	40 
298	85 
299	17 
300	106 
301	72 
302	97 
303	97 
304	46 
305	85 109 
306	83 
307	96 
308	77 
309	115 
310	42 
311	60 
312	69 
313	19 
314	114 
315	6 
316	17 
317	112 
318	114 
319	18 
320	53 
321	98 
322	13 50 
323	34 
324	81 
325	37 
326	40 
327	63 
328	43 71 
329	25 
330	106 
331	66 
332	27 
333	83 107 
334	92 
335	53 70 
336	72 
337	30 
338	71 
