1	23 
2	29 
3	17 
4	31 
5	20 
6	34 
7	28 
8	31 
9	11 
10	9 12 16 
11	27 
12	20 
13	15 
14	13 
15	20 
16	26 
17	1 
18	30 
19	12 
20	17 
21	17 
22	5 
23	2 
24	22 
25	11 18 19 
26	9 
27	22 
28	5 28 29 
29	37 
30	7 
31	5 
32	21 
33	12 
34	8 
35	36 
36	20 
37	36 
38	21 
39	20 
40	13 
41	5 
42	25 
43	31 
44	6 
45	5 
46	37 
47	24 
48	6 8 34 
49	11 
50	18 
51	30 
52	18 20 23 
53	10 
54	35 
55	8 13 37 
56	36 
57	19 
58	7 
59	7 
60	6 
61	10 
62	9 
63	4 
64	24 
65	32 
66	5 9 30 
67	20 
68	28 
69	22 
70	26 
71	30 
72	18 
73	35 
74	6 
75	33 
76	11 
77	25 
78	4 
79	18 
80	29 
81	15 
82	31 
83	10 
84	2 
85	37 
86	28 
87	28 
88	25 
89	8 33 34 
90	6 
91	35 
92	29 
93	3 
94	22 
95	11 
96	33 
97	7 
98	29 
99	20 
100	19 
101	1 
102	18 
103	17 
104	5 
105	1 
106	11 
107	19 
108	7 
109	23 
110	1 
111	34 
112	12 
113	34 
114	37 
115	28 34 35 
116	35 
117	14 24 35 
118	6 
119	11 30 34 
120	29 
121	17 
122	15 23 37 
123	26 
124	2 
125	15 
126	3 
127	18 
128	37 
129	27 29 35 
130	17 
131	13 20 37 
132	32 
133	19 
134	10 
135	2 
136	7 21 34 
137	9 
138	22 
139	22 
140	37 
141	10 
142	17 
143	28 
144	13 
145	5 
146	10 
147	26 
148	37 
149	4 
150	2 
151	25 
152	7 
153	13 22 29 
154	9 
155	7 
156	28 
157	34 
158	3 
159	7 
160	18 
161	21 
162	19 
163	8 20 35 
164	37 
165	17 
166	5 
167	33 
168	1 
169	24 
170	11 
171	20 
172	9 
173	28 
174	17 
175	4 
176	3 20 30 
177	33 
178	27 
179	31 
180	12 
181	17 
182	9 
183	17 
184	4 
185	13 
186	24 
187	2 14 20 
188	1 19 34 
189	35 
190	28 
191	16 
192	4 
193	31 
194	4 
195	29 
196	13 
197	29 
198	5 23 30 
199	9 
200	30 
201	8 
202	33 
203	19 
204	8 
205	18 
206	4 
207	6 
208	11 
209	33 
210	3 20 34 
211	36 
212	24 
213	34 
214	6 
215	26 
216	3 
217	12 
218	34 
219	19 
220	4 13 37 
221	3 
222	33 
223	21 
224	18 
225	25 29 31 
226	12 
227	34 
228	4 
229	13 
230	24 
231	13 
232	15 
233	24 
234	36 
235	3 
236	22 
237	8 12 22 
238	11 
239	6 
240	32 
241	15 
242	19 
243	35 
244	28 
245	5 28 34 
246	11 
247	9 
248	3 5 17 
249	5 
250	14 
251	1 14 26 
252	10 
253	3 
254	13 
255	18 
256	8 19 22 
257	35 
258	2 
259	18 
260	21 
261	4 
262	32 
263	2 8 17 
264	30 
265	7 12 29 
266	12 
267	19 
268	9 
269	20 
270	22 
271	25 
272	21 
273	20 
274	27 
275	14 
276	15 
277	2 
278	5 
279	2 
280	35 
281	35 
282	18 
283	30 
284	24 
285	14 
286	3 
287	17 
288	33 
289	7 
290	7 
291	34 
292	5 
293	19 
294	14 
295	31 
296	15 
297	4 
298	25 
299	12 
300	36 
301	12 
302	29 
303	11 
304	21 
305	36 
306	26 
307	34 
308	34 
309	28 
310	11 
311	3 
312	19 
313	9 
314	33 
315	11 18 30 
316	1 
317	10 
318	17 
319	8 
320	21 
321	9 
322	5 30 34 
323	32 
324	10 
325	32 
326	5 
327	2 
328	3 8 23 
329	15 
330	18 
331	4 14 34 
332	13 
333	9 
334	31 
335	31 
336	23 
337	34 
338	5 
339	26 
340	36 
341	27 
342	34 
343	29 
344	2 9 15 
345	14 
